Ranking,Name,FullName,Age,Height,Weight,Nationality,Overall,Potential,Growth,TotalStats,BaseStats,Positions,BestPosition,Club,ValueEUR,WageEUR,ReleaseClause,ClubPosition,ContractUntil,ClubNumber,ClubJoined,OnLoad,NationalTeam,Maximum Wage,Minimum Wage,Average Wage,Maximum Rating,Minimum Rating,Average Rating
15,J. Oblak,Jan Oblak,29,188,87,Slovenia,89,91,2,1402,479,GK,GK,Atlético de Madrid,85500000,100000,181700000,GK,2023,13,2014,FALSE,Not in team,,,,,,
14,Casemiro,Carlos Henrique Venancio Casimiro,30,185,84,Brazil,89,89,0,2209,460,CDM,CDM,Manchester United,86000000,240000,163400000,SUB,2026,18,2022,FALSE,Not in team,,,,,,
13,H. Son,Heung Min Son,29,183,78,Korea Republic,89,89,0,2141,456,"LW,LM",LW,Tottenham Hotspur,101000000,240000,191900000,LW,2025,7,2015,FALSE,Not in team,,,,,,
11,H. Kane,Harry Kane,28,188,89,England,89,89,0,2193,453,ST,ST,Tottenham Hotspur,105500000,240000,200500000,ST,2024,10,2010,FALSE,England,,,,,,
12,Neymar Jr,Neymar da Silva Santos Jr.,30,175,68,Brazil,89,89,0,2157,446,LW,LW,Paris Saint-Germain,99500000,200000,184100000,LW,2025,10,2017,FALSE,Not in team,,,,,,
30,L. Modri?,Luka Modri?,36,172,66,Croatia,88,88,0,2257,464,CM,CM,Real Madrid CF,29000000,230000,59500000,CM,2023,10,2012,FALSE,Croatia,,,,,,
29,T. Kroos,Toni Kroos,32,183,76,Germany,88,88,0,2147,444,CM,CM,Real Madrid CF,72000000,310000,147600000,CM,2023,8,2014,FALSE,Not in team,,,,,,
28,M. ter Stegen,Marc-André ter Stegen,30,187,85,Germany,88,89,1,1443,480,GK,GK,FC Barcelona,68500000,210000,145600000,GK,2025,1,2014,FALSE,Germany,,,,,,
27,K. Navas,Keylor Navas,35,185,80,Costa Rica,88,88,0,1428,478,GK,GK,Paris Saint-Germain,10000000,85000,18500000,SUB,2024,1,2019,FALSE,Not in team,,,,,,
26,Marquinhos,Marcos Aoás Corrêa,28,183,75,Brazil,88,90,2,2082,453,CB,CB,Paris Saint-Germain,92000000,170000,177100000,CB,2024,5,2013,FALSE,Not in team,,,,,,
25,João Cancelo,João Pedro Cavaco Cancelo,28,182,74,Portugal,88,88,0,2262,482,"LB,RB",LB,Manchester City,82500000,250000,152600000,LB,2027,7,2019,FALSE,Portugal,,,,,,
24,Bernardo Silva,Bernardo Mota Carvalho e Silva,27,173,64,Portugal,88,88,0,2185,460,"CAM,CM",CAM,Manchester City,97500000,260000,180400000,RW,2025,20,2017,FALSE,Portugal,Country,Count of players ranked top 100,,,,
23,G. Donnarumma,Gianluigi Donnarumma,23,196,90,Italy,88,92,4,1375,478,GK,GK,Paris Saint-Germain,103500000,110000,199200000,GK,2026,99,2021,FALSE,Italy,Argentina,4,,,,
22,E. Haaland,Erling Haaland,21,195,94,Norway,88,94,6,2120,461,ST,ST,Manchester City,148000000,220000,303400000,ST,2027,9,2022,FALSE,Norway,France,9,,,,
21,Rúben Dias,Rúben Santos Gato Alves Dias,25,187,82,Portugal,88,91,3,1894,412,CB,CB,Manchester City,107500000,230000,206900000,CB,2027,3,2020,FALSE,Portugal,Germany,12,,,,
37,M. Verratti,Marco Verratti,29,165,60,Italy,87,87,0,2189,444,"CM,CAM",CM,Paris Saint-Germain,77500000,155000,143400000,CM,2024,6,2012,FALSE,Italy,Spain,7,,,,
43,F. de Jong,Frenkie de Jong,25,180,74,Netherlands,87,92,5,2238,479,CM,CM,FC Barcelona,116500000,230000,247600000,CM,2026,21,2019,FALSE,Netherlands,Portugal,6,,,,
42,L. Goretzka,Leon Goretzka,27,189,82,Germany,87,88,1,2312,492,"CM,CDM",CM,FC Bayern München,91000000,115000,157000000,CDM,2026,8,2018,FALSE,Germany,Italy,6,,,,
41,K. Koulibaly,Kalidou Koulibaly,31,187,89,Senegal,87,87,0,1789,415,CB,CB,Chelsea,54500000,175000,100800000,CB,2026,26,2022,FALSE,Not in team,,,,,,
40,A. Robertson,Andrew Robertson,28,178,64,Scotland,87,87,0,2154,461,LB,LB,Liverpool,72000000,185000,133199999,LB,2026,26,2017,FALSE,Scotland,,,,,,
38,M. Maignan,Mike Maignan,26,191,89,France,87,90,3,1496,477,GK,GK,AC Milan,80000000,90000,142000000,GK,2026,16,2021,FALSE,France,,,,,,
39,T. Alexander-Arnold,Trent Alexander-Arnold,23,180,69,England,87,90,3,2234,467,RB,CM,Liverpool,100500000,150000,193500000,RB,2025,66,2015,FALSE,Not in team,,,,,,
36,De Gea,David De Gea Quintana,31,192,76,Spain,87,87,0,1415,468,GK,GK,Manchester United,42000000,150000,79800000,GK,2023,1,2011,FALSE,Spain,,,,,,
35,T. Müller,Thomas Müller,32,185,76,Germany,87,87,0,2140,443,"CAM,CF",CAM,FC Bayern München,63000000,115000,104000000,CAM,2024,25,2008,FALSE,Germany,,,,,,
34,H. Lloris,Hugo Lloris,35,188,82,France,87,87,0,1399,478,GK,GK,Tottenham Hotspur,9000000,80000,17100000,GK,2024,1,2012,FALSE,France,,,,,,
33,Fabinho,Fábio Henrique Tavares,28,188,78,Brazil,87,88,1,2165,459,"CDM,CB",CDM,Liverpool,77000000,185000,148200000,CDM,2026,3,2018,FALSE,Not in team,,,,,,
32,Rodri,Rodrigo Hernández Cascante,26,191,82,Spain,87,89,2,2133,454,CDM,CDM,Manchester City,88500000,200000,170400000,CDM,2027,16,2019,FALSE,Spain,,,,,,
31,A. Rüdiger,Antonio Rüdiger,29,190,85,Germany,87,88,1,2011,444,CB,CB,Real Madrid CF,73500000,250000,156200000,CB,2026,22,2022,FALSE,Germany,,,,,,
55,Parejo,Daniel Parejo Muñoz,33,182,74,Spain,86,86,0,2162,442,CM,CM,Villarreal CF,42000000,64000,88200000,CM,2024,10,2020,FALSE,Not in team,,,,,,
65,S. Milinkovi?-Savi?,Sergej Milinkovi?-Savi?,27,191,76,Serbia,86,87,1,2250,477,CM,CM,Lazio,77500000,90000,137600000,CM,2024,21,2015,FALSE,Not in team,,,,,,
64,Vinícius Jr.,Vinícius José de Oliveira Júnior,21,176,73,Brazil,86,92,6,1985,434,LW,LW,Real Madrid CF,109000000,200000,245300000,LW,2025,20,2018,FALSE,Not in team,,,,,,
63,É. Mendy,Édouard Mendy,30,197,86,Senegal,86,87,1,1225,454,GK,GK,Chelsea,51000000,130000,98200000,GK,2025,16,2020,FALSE,Not in team,,,,,,
62,C. Nkunku,Christopher Nkunku,24,175,73,France,86,89,3,2196,471,"CF,CAM,ST",CAM,RB Leipzig,94000000,90000,166900000,CAM,2024,18,2019,FALSE,France,,,,,,
61,M. Škriniar,Milan Škriniar,27,188,80,Slovakia,86,87,1,1861,419,CB,CB,Inter,68500000,105000,118200000,CB,2023,37,2017,FALSE,Not in team,,,,,,
60,L. Martínez,Lautaro Martínez,24,174,72,Argentina,86,90,4,2163,455,ST,ST,Inter,98500000,110000,169900000,ST,2026,10,2018,FALSE,Argentina,,,,,,
59,N. Barella,Nicolò Barella,25,172,68,Italy,86,89,3,2296,480,CM,CM,Inter,89500000,110000,154400000,CM,2026,23,2020,FALSE,Italy,,,,,,
57,K. Coman,Kingsley Coman,26,179,75,France,86,87,1,1979,426,LM,LM,FC Bayern München,80000000,105000,138000000,RM,2027,11,2015,FALSE,France,,,,,,
56,A. Laporte,Aymeric Laporte,28,191,85,Spain,86,87,1,1962,417,CB,CB,Manchester City,64500000,195000,124200000,CB,2025,14,2018,FALSE,Spain,,,,,,
58,M. Brozovi?,Marcelo Brozovi?,29,181,68,Croatia,86,86,0,2227,464,"CDM,CM",CDM,Inter,58000000,110000,95700000,CDM,2026,77,2016,FALSE,Croatia,,,,,,
54,Bruno Fernandes,Bruno Miguel Borges Fernandes,27,179,69,Portugal,86,86,0,2305,470,"CAM,CM",CAM,Manchester United,72500000,190000,137800000,CAM,2026,8,2020,FALSE,Portugal,,,,,,
48,R. Sterling,Raheem Sterling,27,170,69,England,86,86,0,2102,446,"LW,RW",LW,Chelsea,72500000,195000,134100000,ST,2027,17,2022,FALSE,England,,,,,,
53,K. Trapp,Kevin Trapp,31,189,84,Germany,86,86,0,1252,463,GK,GK,Eintracht Frankfurt,36000000,43000,61200000,GK,2024,1,2019,FALSE,Germany,,,,,,
45,C. Immobile,Ciro Immobile,32,185,85,Italy,86,86,0,2060,434,ST,ST,Lazio,55000000,100000,93500000,ST,2025,17,2016,FALSE,Italy,,,,,,
46,R. Lukaku,Romelu Lukaku,29,191,94,Belgium,86,86,0,2034,437,ST,ST,Inter,68000000,200000,0,ST,2023,90,2021,TRUE,Belgium,,,,,,
47,D. Alaba,David Alaba,30,180,78,Austria,86,86,0,2277,475,CB,CB,Real Madrid CF,55500000,220000,113800000,CB,2026,4,2021,FALSE,Austria,,,,,,
44,Thiago,Thiago Alcântara,31,174,70,Spain,86,86,0,2225,451,CM,CM,Liverpool,55500000,180000,102700000,CM,2024,6,2020,FALSE,Not in team,,,,,,
49,R. Mahrez,Riyad Mahrez,31,179,67,Algeria,86,86,0,2063,432,"RW,RM",RW,Manchester City,56500000,220000,104500000,SUB,2025,26,2018,FALSE,Not in team,,,,,,
50,P. Dybala,Paulo Dybala,28,177,75,Argentina,86,86,0,2108,439,"CF,CAM",CAM,Roma,69500000,130000,118200000,RF,2025,21,2022,FALSE,Argentina,,,,,,
51,Thiago Silva,Thiago Emiliano da Silva,37,183,79,Brazil,86,86,0,2012,411,CB,CB,Chelsea,12000000,115000,22200000,CB,2023,6,2020,FALSE,Not in team,,,,,,
52,W. Szcz?sny,Wojciech Szcz?sny,32,195,90,Poland,86,86,0,1314,462,GK,GK,Juventus,33500000,125000,57000000,RES,2024,1,2017,FALSE,Poland,,,,,,
79,Gerard Moreno,Gerard Moreno Balagueró,30,180,77,Spain,85,85,0,2109,442,ST,ST,Villarreal CF,53000000,64000,111300000,ST,2027,7,2018,FALSE,Spain,,,,,,
91,M. Reus,Marco Reus,33,180,71,Germany,85,85,0,2154,441,"CAM,CF,RM",CAM,Borussia Dortmund,33500000,78000,57000000,CAM,2023,11,2012,FALSE,Germany,,,,,,
90,Y. Sommer,Yann Sommer,33,183,79,Switzerland,85,85,0,1356,467,GK,GK,Borussia Mönchengladbach,17500000,40000,29800000,GK,2023,1,2014,FALSE,Not in team,,,,,,
89,P. Gulácsi,Péter Gulácsi,32,191,86,Hungary,85,85,0,1305,456,GK,GK,RB Leipzig,26500000,65000,45100000,GK,2025,1,2015,FALSE,Hungary,,,,,,
87,T. Hernández,Theo Hernández,24,184,81,France,85,90,5,2195,483,LB,LWB,AC Milan,76000000,82000,134900000,LB,2026,19,2019,FALSE,France,,,,,,
86,P. Schick,Patrik Schick,26,191,86,Czech Republic,85,87,2,1999,427,ST,ST,Bayer 04 Leverkusen,67500000,95000,119800000,ST,2027,14,2020,FALSE,Czech Republic,,,,,,
85,M. de Ligt,Matthijs de Ligt,22,189,89,Netherlands,85,89,4,1982,435,CB,CB,FC Bayern München,71000000,77000,122500000,CB,2027,4,2022,FALSE,Netherlands,,,,,,
84,P. Foden,Phil Foden,22,171,69,England,85,92,7,2083,445,"LW,CF,CAM",CAM,Manchester City,109500000,180000,224500000,LW,2024,47,2016,FALSE,England,,,,,,
83,Pedri,Pedro González López,19,174,61,Spain,85,93,8,2109,455,CM,CM,FC Barcelona,116000000,115000,261000000,CM,2026,8,2020,FALSE,Spain,,,,,,
82,J. Vardy,Jamie Vardy,35,179,74,England,85,85,0,2118,441,ST,ST,Leicester City,23000000,110000,43700000,ST,2024,9,2012,FALSE,Not in team,,,,,,
81,F. Kosti?,Filip Kosti?,29,184,84,Serbia,85,85,0,2234,474,"LM,LWB",LM,Juventus,53000000,165000,90100000,LW,2026,17,2022,FALSE,Not in team,,,,,,
80,Y. Carrasco,Yannick Carrasco,28,181,73,Belgium,85,85,0,2153,458,LM,LM,Atlético de Madrid,54500000,90000,111700000,LM,2024,21,2020,FALSE,Belgium,,,,,,
88,Diogo Jota,Diogo José Teixeira da Silva,25,178,73,Portugal,85,89,4,2183,462,"CF,LW",ST,Liverpool,76000000,170000,146300000,SUB,2025,20,2020,FALSE,Portugal,,,,,,
78,M. Acuña,Marcos Acuña,30,172,69,Argentina,85,85,0,2303,483,LB,LB,Sevilla FC,46500000,46000,97700000,LB,2024,19,2020,FALSE,Argentina,,,,,,
71,P. Aubameyang,Pierre-Emerick Aubameyang,33,187,80,Gabon,85,85,0,2028,428,ST,ST,Chelsea,34500000,180000,63800000,SUB,2024,9,2022,FALSE,Not in team,,,,,,
77,Jorginho,Luiz Frello Filho Jorge,30,180,68,Italy,85,85,0,2128,434,CM,CM,Chelsea,51500000,165000,95300000,CM,2023,5,2018,FALSE,Italy,,,,,,
67,N. Fekir,Nabil Fekir,28,173,75,France,85,85,0,2126,452,CAM,CAM,Real Betis Balompié,54500000,48000,114500000,CAM,2026,8,2019,FALSE,Not in team,,,,,,
68,S. Gnabry,Serge Gnabry,26,176,77,Germany,85,85,0,2058,442,RM,RM,FC Bayern München,59000000,100000,97400000,SUB,2026,7,2017,FALSE,Germany,,,,,,
69,?. Gündo?an,?lkay Gündo?an,31,180,80,Germany,85,85,0,2195,458,"CM,CDM",CM,Manchester City,44000000,185000,81400000,CM,2023,8,2016,FALSE,Germany,,,,,,
70,K. Walker,Kyle Walker,32,183,83,England,85,85,0,2196,471,RB,RB,Manchester City,37500000,170000,69400000,RB,2024,2,2017,FALSE,England,,,,,,
66,N. Süle,Niklas Süle,26,195,99,Germany,85,87,2,1839,412,"CB,RB",CB,Borussia Dortmund,59000000,72000,104700000,SUB,2026,25,2022,FALSE,Germany,,,,,,
72,Jordi Alba,Jordi Alba Ramos,33,170,68,Spain,85,85,0,2218,465,LB,LB,FC Barcelona,28000000,190000,57400000,LB,2024,18,2012,FALSE,Spain,,,,,,
73,Sergio Busquets,Sergio Busquets Burgos,33,189,76,Spain,85,85,0,2002,417,CDM,CDM,FC Barcelona,26500000,190000,54300000,CDM,2023,5,2008,FALSE,Spain,,,,,,
74,Iago Aspas,Iago Aspas Juncal,34,176,67,Spain,85,85,0,2069,430,ST,ST,RC Celta de Vigo,26000000,50000,54600000,ST,2025,10,2015,FALSE,Not in team,,,,,,
75,P. Pogba,Paul Pogba,29,191,84,France,85,85,0,2170,459,"CM,CDM,LM",CM,Juventus,52500000,165000,89300000,SUB,2026,10,2022,FALSE,France,,,,,,
76,M. Depay,Memphis Depay,28,176,78,Netherlands,85,85,0,2089,444,"CF,ST,LW",CF,FC Barcelona,55000000,230000,112800000,SUB,2023,14,2021,FALSE,Netherlands,,,,,,
132,S. Tonali,Sandro Tonali,22,181,79,Italy,84,90,6,2225,475,"CDM,CM",CDM,AC Milan,62500000,75000,118800000,CM,2027,8,2021,FALSE,Not in team,,,,,,
137,R. James,Reece James,22,178,87,England,84,88,4,2225,477,"RWB,RB",RWB,Chelsea,57000000,120000,109700000,RWB,2025,24,2017,FALSE,England,,,,,,
136,L. Sané,Leroy Sané,26,183,80,Germany,84,85,1,2086,438,LM,LM,FC Bayern München,49500000,90000,85400000,LM,2025,10,2020,FALSE,Germany,,,,,,
135,F. Valverde,Federico Valverde,23,182,78,Uruguay,84,90,6,2192,478,"CM,RW",CM,Real Madrid CF,66000000,175000,148500000,SUB,2027,15,2016,FALSE,Not in team,,,,,,
134,Éder Militão,Éder Gabriel Militão,24,186,78,Brazil,84,89,5,2043,445,CB,CB,Real Madrid CF,57500000,160000,122200000,SUB,2025,3,2019,FALSE,Not in team,,,,,,
133,L. Díaz,Luis Díaz,25,180,73,Colombia,84,87,3,2049,440,"LW,LM",RM,Liverpool,56000000,155000,107800000,LW,2027,23,2022,FALSE,Not in team,,,,,,
125,J. Bellingham,Jude Bellingham,19,186,75,England,84,91,7,2182,469,"CM,LM",CM,Borussia Dortmund,81500000,41000,154900000,CDM,2025,22,2020,FALSE,England,,,,,,
131,Y. Tielemans,Youri Tielemans,25,176,72,Belgium,84,86,2,2187,446,"CM,CDM",CM,Leicester City,52500000,115000,103700000,CM,2023,8,2019,FALSE,Belgium,,,,,,
130,J. Koundé,Jules Koundé,23,181,75,France,84,89,5,1926,430,"CB,RB",CB,FC Barcelona,57500000,150000,122200000,RB,2027,23,2022,FALSE,France,,,,,,
129,Rafael Leão,Rafael da Conceição Leão,23,188,81,Portugal,84,90,6,1971,428,"LW,LM",LW,AC Milan,66500000,90000,126400000,LW,2024,17,2019,FALSE,Portugal,,,,,,
128,J. Tartt,Jamie Tartt,24,178,84,England,84,91,7,2073,438,ST,CAM,AFC Richmond,85500000,78000,179600000,ST,2025,9,2020,FALSE,Not in team,,,,,,
126,F. Chiesa,Federico Chiesa,24,175,70,Italy,84,90,6,2073,455,LW,RM,Juventus,66500000,140000,126400000,SUB,2025,7,2022,FALSE,Italy,,,,,,
139,K. Havertz,Kai Havertz,23,189,82,Germany,84,91,7,2042,434,"CAM,CF,ST",CAM,Chelsea,84500000,130000,173200000,LW,2025,29,2020,FALSE,Germany,,,,,,
138,A. Bastoni,Alessandro Bastoni,23,190,75,Italy,84,90,6,1890,416,CB,CB,Inter,60500000,75000,111900000,CB,2024,95,2017,FALSE,Italy,,,,,,
145,J. Sancho,Jadon Sancho,22,180,76,England,84,88,4,1977,420,"LW,RW,LM",CAM,Manchester United,61500000,155000,121500000,LM,2026,25,2021,FALSE,England,,,,,,
140,João Félix,João Félix Sequeira,22,181,72,Portugal,84,90,6,2110,439,"CF,ST",CAM,Atlético de Madrid,68500000,78000,154100000,ST,2026,7,2019,FALSE,Portugal,,,,,,
141,A. Hakimi,Achraf Hakimi,23,181,73,Morocco,84,87,3,2229,479,"RB,RWB",RB,Paris Saint-Germain,53500000,90000,103000000,RWB,2026,2,2021,FALSE,Morocco,,,,,,
142,A. Davies,Alphonso Davies,21,185,77,Canada,84,89,5,2170,475,"LB,LM",LM,FC Bayern München,60500000,59000,104400000,LB,2025,19,2019,FALSE,Canada,,,,,,
143,D. Rice,Declan Rice,23,185,80,England,84,87,3,2075,450,CDM,CDM,West Ham United,52000000,83000,102700000,CDM,2024,41,2016,FALSE,England,,,,,,
144,M. Mount,Mason Mount,23,180,74,England,84,87,3,2119,444,"CAM,RW",CAM,Chelsea,57500000,130000,110700000,RW,2024,19,2016,FALSE,England,,,,,,
123,G. Chiellini,Giorgio Chiellini,37,187,85,Italy,84,84,0,1815,397,CB,CB,Los Angeles FC,7500000,11000,11300000,CB,2023,14,2022,FALSE,Not in team,,,,,,
146,F. Tomori,Fikayo Tomori,24,185,79,England,84,90,6,1875,419,CB,CB,AC Milan,60500000,75000,115000000,CB,2027,23,2021,FALSE,Not in team,,,,,,
147,F. Kessié,Franck Yannick Kessié,25,183,88,Côte d'Ivoire,84,86,2,2206,476,"CDM,CM",CDM,FC Barcelona,47500000,165000,100900000,SUB,2026,19,2022,FALSE,Not in team,,,,,,
148,Oyarzabal,Mikel Oyarzabal Ugarte,25,181,79,Spain,84,86,2,2044,428,"LW,RW",LW,Real Sociedad,53000000,57000,115300000,SUB,2024,10,2014,FALSE,Spain,,,,,,
149,L. Pellegrini,Lorenzo Pellegrini,26,186,77,Italy,84,87,3,2258,475,"CAM,CM",CAM,Roma,55000000,95000,97600000,CM,2026,7,2017,FALSE,Italy,,,,,,
150,W. Ndidi,Wilfred Ndidi,25,183,74,Nigeria,84,86,2,2087,437,"CDM,CM",CB,Leicester City,47500000,105000,93800000,CDM,2024,25,2017,FALSE,Not in team,,,,,,
151,Marcos Llorente,Marcos Llorente Moreno,27,184,74,Spain,84,85,1,2244,489,"CM,RM,RB",CAM,Atlético de Madrid,48000000,81000,102000000,SUB,2027,14,2019,FALSE,Spain,,,,,,
152,M. Ødegaard,Martin Ødegaard,23,178,68,Norway,84,89,5,2109,442,"CAM,CM",CAM,Arsenal,63500000,105000,125400000,CAM,2026,8,2021,FALSE,Norway,,,,,,
153,D. Vlahovi?,Dušan Vlahovi?,22,190,75,Serbia,84,91,7,1912,416,ST,ST,Juventus,86500000,140000,164400000,ST,2026,9,2022,FALSE,Not in team,,,,,,
124,R. De Paul,Rodrigo Javier De Paul,28,180,70,Argentina,84,84,0,2240,476,CM,CM,Atlético de Madrid,42000000,85000,86100000,CM,2026,5,2021,FALSE,Argentina,,,,,,
127,M. Diaby,Moussa Diaby,22,171,67,France,84,88,4,1960,429,"RM,LM,LW",RM,Bayer 04 Leverkusen,61500000,70000,109200000,RM,2025,19,2019,FALSE,Not in team,,,,,,
122,E. Džeko,Edin Džeko,36,193,80,Bosnia and Herzegovina,84,84,0,1954,415,ST,ST,Inter,14500000,80000,23900000,SUB,2023,9,2021,FALSE,Not in team,,,,,,
106,S. Savi?,Stefan Savi?,31,187,80,Montenegro,84,84,0,1755,382,CB,CB,Atlético de Madrid,29000000,74000,59500000,CB,2024,15,2015,FALSE,Not in team,,,,,,
92,L. Hernández,Lucas Hernández,26,184,79,France,84,86,2,2014,436,"CB,LB",CB,FC Bayern München,46000000,82000,79400000,SUB,2024,21,2019,FALSE,France,,,,,,
93,Sergio Ramos,Sergio Ramos García,36,184,82,Spain,84,84,0,2137,433,CB,CB,Paris Saint-Germain,7500000,75000,13900000,CB,2023,4,2021,FALSE,Spain,,,,,,
94,A. Gómez,Alejandro Gómez,34,167,68,Argentina,84,84,0,2035,425,"CAM,LW",CAM,Sevilla FC,20000000,47000,42000000,LW,2024,24,2021,FALSE,Argentina,,,,,,
95,S. Handanovi?,Samir Handanovi?,37,193,92,Slovenia,84,84,0,1265,443,GK,GK,Inter,4700000,46000,7800000,GK,2023,1,2012,FALSE,Not in team,,,,,,
121,I. Periši?,Ivan Periši?,33,186,80,Croatia,84,84,0,2238,472,"LM,LWB",LM,Tottenham Hotspur,26500000,130000,50400000,SUB,2024,14,2022,FALSE,Croatia,,,,,,
97,L. Suárez,Luis Suárez,35,182,86,Uruguay,84,84,0,2231,439,ST,ST,Club Nacional de Football,18000000,1000,39600000,ST,2022,9,2022,FALSE,Not in team,,,,,,
98,D. Tadi?,Dušan Tadi?,33,181,76,Serbia,84,84,0,2106,439,"LW,CF,CAM",LW,Ajax,26500000,32000,37100000,RW,2024,10,2018,FALSE,Not in team,,,,,,
99,D. Berardi,Domenico Berardi,27,183,72,Italy,84,84,0,2063,437,"RM,RW",RM,U.S. Sassuolo Calcio,45000000,57000,76500000,SUB,2027,10,2012,FALSE,Italy,,,,,,
100,T. Partey,Thomas Partey,29,185,77,Ghana,84,84,0,2143,460,"CDM,CM",CDM,Arsenal,36000000,115000,68400000,CDM,2024,5,2020,FALSE,Ghana,,,,,,
101,Y. Bounou,Yassine Bounou,31,192,78,Morocco,84,84,0,1262,447,GK,GK,Sevilla FC,22500000,34000,47300000,GK,2025,13,2020,FALSE,Morocco,,,,,,
102,H. Çalhano?lu,Hakan Çalhano?lu,28,178,76,Turkey,84,84,0,2172,450,CM,CM,Inter,42000000,100000,69300000,CM,2024,20,2021,FALSE,Not in team,,,,,,
103,M. Kova?i?,Mateo Kova?i?,28,176,80,Croatia,84,84,0,2141,452,CM,CM,Chelsea,42000000,155000,77700000,SUB,2024,8,2019,FALSE,Croatia,,,,,,
104,J. Grealish,Jack Grealish,26,180,81,England,84,84,0,2017,437,"LW,LM,CAM",LW,Manchester City,46000000,185000,85100000,SUB,2027,10,2021,FALSE,England,,,,,,
105,Carvajal,Daniel Carvajal Ramos,30,173,73,Spain,84,84,0,2105,450,RB,RB,Real Madrid CF,36500000,185000,74800000,RB,2025,2,2013,FALSE,Spain,,,,,,
96,D. Mertens,Dries Mertens,35,169,61,Belgium,84,84,0,1980,410,"CF,ST,CAM",CF,Galatasaray SK,18000000,86000,34200000,CF,2023,10,2022,FALSE,Belgium,,,,,,
107,E. Martínez,Emiliano Martínez,29,195,88,Argentina,84,84,0,1457,476,GK,GK,Aston Villa,29000000,95000,55100000,GK,2027,1,2020,FALSE,Argentina,,,,,,
115,Canales,Sergio Canales Madrazo,31,176,65,Spain,84,84,0,2213,468,"RM,CAM,CDM",RM,Real Betis Balompié,35000000,42000,73500000,RM,2026,10,2018,FALSE,Not in team,,,,,,
108,R. Varane,Raphaël Varane,29,191,81,France,84,85,1,1910,425,CB,CB,Manchester United,39000000,155000,77000000,CB,2025,19,2021,FALSE,France,,,,,,
120,E. Hazard,Eden Hazard,31,175,74,Belgium,84,84,0,2045,430,LW,LW,Real Madrid CF,35000000,220000,71800000,SUB,2024,7,2019,FALSE,Belgium,,,,,,
